,Section_id,Section_title
16081,314,DE VI ET DE VI ARMATA
16169,315,UTI POSSIDETIS
16193,316,DE SUPERFICIEBUS
16204,317,DE ITINERE ACTUQUE PRIVATO
16244,318,DE AQUA COTTIDIANA ET AESTIVA
16303,319,DE RIVIS
16328,320,DE FONTE
16340,321,DE CLOACIS
16358,322,QUOD VI AUT CLAM
16475,323,DE REMISSIONIBUS
16481,324,DE PRECARIO
16534,325,DE ARBORIBUS CAEDENDIS
16545,326,DE GLANDE LEGENDA
16547,327,DE HOMINE LIBERO EXHIBENDO
16570,328,DE LIBERIS EXHIBENDIS
16586,329,UTRUBI
16588,330,DE MIGRANDO
16596,331,DE SALVIANO INTERDICTO
16600,332,DE EXCEPTIONIBUS PRAESCRIPTIONIBUS ET PRAEIUDICIIS
16630,333,DE EXCEPTIONE REI IUDICATAE
16689,334,DE DIVERSIS TEMPORALIBUS PRAESCRIPTIONIBUS ET DE ACCESSIONIBUS POSSESSIONUM
16720,335,DE DOLI MALI ET METUS EXCEPTIONE
16793,336,QUARUM RERUM ACTIO NON DATUR
16809,337,DE LITIGIOSIS
16813,338,DE OBLIGATIONIBUS ET ACTIONIBUS
16929,339,DE VERBORUM OBLIGATIONIBUS
17238,340,DE DUOBUS REIS CONSTITUENDIS
17266,341,DE STIPULATIONE SERVORUM
17323,342,DE FIDEIUSSORIBUS ET MANDATORIBUS
17456,343,DE NOVATIONIBUS ET DELEGATIONIBUS
17505,344,DE SOLUTIONIBUS ET LIBERATIONIBUS
17701,345,DE ACCEPTILATIONE
17746,346,DE STIPULATIONIBUS PRAETORIIS
17770,347,REM PUPILLI VEL ADULESCENTIS SALVAM FORE
17790,348,IUDICATUM SOLVI
17833,349,RATAM REM HABERI ET DE RATIHABITIONE
17878,350,DE PRIVATIS DELICTIS
17889,351,DE FURTIS
18163,352,DE TIGNO IUNCTO
18167,353,SI IS
18189,354,FURTI ADVERSUS NAUTAS CAUPONES STABULARIOS
18196,355,SI FAMILIA FURTUM FECISSE DICETUR
18208,356,ARBORUM FURTIM CAESARUM
18242,357,VI BONORUM RAPTORUM ET DE TURBA
18291,358,DE INCENDIO RUINA NAUFRAGIO RATE NAVE EXPUGNATA
18319,359,DE INIURIIS ET FAMOSIS LIBELLIS
18493,360,DE EXTRAORDINARIIS CRIMINIBUS
18508,361,DE SEPULCHRO VIOLATO
18531,362,DE CONCUSSIONE
18533,363,DE ABIGEIS
18543,364,DE PRAEVARICATIONE
18554,365,DE RECEPTATORIBUS
18556,366,DE FURIBUS BALNEARIIS
18559,367,DE EFFRACTORIBUS ET EXPILATORIBUS
18563,368,EXPILATAE HEREDITATIS
18570,369,STELLIONATUS
18577,370,DE TERMINO MOTO
18582,371,DE COLLEGIIS ET CORPORIBUS
18590,372,DE POPULARIBUS ACTIONIBUS
18600,373,DE PUBLICIS IUDICIIS
18618,374,DE ACCUSATIONIBUS ET INSCRIPTIONIBUS
18657,375,DE CUSTODIA ET EXHIBITIONE REORUM
18683,376,AD LEGEM IULIAM MAIESTATIS
18702,377,AD LEGEM IULIAM DE ADULTERIIS COERCENDIS
18876,378,AD LEGEM IULIAM DE VI PUBLICA
18900,379,AD LEGEM IULIAM DE VI PRIVATA
18913,380,AD LEGEM CORNELIAM DE SICCARIIS ET VENEFICIS
18945,381,DE LEGE POMPEIA DE PARRICIDIIS
18957,382,DE LEGE CORNELIA DE FALSIS ET DE SENATUS CONSULTO LIBONIANO
19040,383,DE LEGE IULIA REPETUNDARUM
19056,384,DE LEGE IULIA DE ANNONA
19062,385,AD LEGEM IULIAM PECULATUS ET DE SACRILEGIS ET DE RESIDUIS
19093,386,DE LEGE IULIA AMBITUS
19098,387,DE LEGE FABIA DE PLAGIARIIS
19111,388,AD SENATUS CONSULTUM TURPILLIANUM ET DE ABOLITIONIBUS CRIMINUM
19160,389,DE REQUIRENDIS VEL ABSENTIBUS DAMNANDIS
19175,390,DE QUAESTIONIBUS
19251,391,DE POENIS
19382,392,DE BONIS DAMNATORUM
19408,393,DE BONIS EORUM
19420,394,DE INTERDICTIS ET RELEGATIS ET DEPORTATIS
19469,395,DE SENTENTIAM PASSIS ET RESTITUTIS
19474,396,DE CADAVERIBUS PUNITORUM
19477,397,DE APPELLATIONIBUS ET RELEGATIONIBUS
19539,398,A QUIBUS APPELLARI NON LICET
19545,399,QUIS A QUO APPELLETUR
19549,400,QUANDO APPELLANDUM SIT ET INTRA QUAE TEMPORA
19570,401,DE APPELLATIONIBUS RECIPIENDIS VEL NON
19585,402,DE LIBELLIS DIMISSORIIS
19588,403,NIHIL INNOVARI APPELLATIONE INTERPOSITA
19594,404,QUAE SENTENTIAE SINE APPELLATIONE RESCINDANTUR
19603,405,AN PER ALIUM CAUSAE APPELLATIONUM REDDI POSSUNT
19605,406,SI TUTOR VEL CURATOR MAGISTRATUSVE CREATUS APPELLAVERIT
19607,407,EUM QUI APPELLAVERIT IN PROVINCIA DEFENDI
19609,408,APUD EUM
19610,409,SI PENDENTE APPELLATIONE MORS INTERVENERIT
19612,410,DE IURE FISCI
19747,411,DE CAPTIVIS ET DE POSTLIMINIO ET REDEMPTIS AB HOSTIBUS
19822,412,DE RE MILITARI
19904,413,DE CASTRENSI PECULIO
19944,414,DE VETERANIS
19953,415,AD MUNICIPALEM ET DE INCOLIS
20049,416,DE DECURIONIBUS ET FILIIS EORUM
20086,417,DE ALBO SCRIBENDO
20089,418,DE MUNERIBUS ET HONORIBUS
20181,419,DE VACATIONE ET EXCUSATIONE MUNERUM
20221,420,DE IURE IMMUNITATIS
20243,421,DE LEGATIONIBUS
20275,422,DE ADMINISTRATIONE RERUM AD CIVITATES PERTINENTIUM
20313,423,DE DECRETIS AB ORDINE FACIENDIS
20321,424,DE OPERIBUS PUBLICIS
20335,425,DE NUNDINIS
20337,426,DE POLLICITATIONIBUS
20366,427,DE VARIIS ET EXTRAORDINARIIS COGNITIONIBUS ET SI IUDEX LITEM SUAM FECISSE DICETUR
20390,428,DE PROXENETICIS
20393,429,DE CENSIBUS
20436,430,DE VERBORUM SIGNIFICATIONE
20784,431,DE DIVERSIS REGULIS IURIS ANTIQUI
