,BKO_id,BKO_key,Work_id,Work,Book_id,TextUnit_ref
83,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
84,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
85,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
86,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
87,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
88,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
89,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
90,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
91,15,Flor. inst.,15,Flor. inst.,93,Flor. 1 inst.
92,15,Flor. inst.,15,Flor. inst.,93,Flor. 1 inst.
93,15,Flor. inst.,15,Flor. inst.,93,Flor. 1 inst.
94,15,Flor. inst.,15,Flor. inst.,100,Flor. 9 inst.
95,15,Flor. inst.,15,Flor. inst.,100,Flor. 9 inst.
96,15,Flor. inst.,15,Flor. inst.,100,Flor. 9 inst.
97,15,Flor. inst.,15,Flor. inst.,100,Flor. 9 inst.
98,15,Flor. inst.,15,Flor. inst.,97,Flor. 6 inst.
99,15,Flor. inst.,15,Flor. inst.,97,Flor. 6 inst.
100,15,Flor. inst.,15,Flor. inst.,97,Flor. 6 inst.
101,15,Flor. inst.,15,Flor. inst.,97,Flor. 6 inst.
102,15,Flor. inst.,15,Flor. inst.,97,Flor. 6 inst.
103,15,Flor. inst.,15,Flor. inst.,97,Flor. 6 inst.
104,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
105,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
106,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
107,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
108,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
109,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
110,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
111,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
112,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
113,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
114,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
115,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
116,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
117,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
118,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
119,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
120,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
121,15,Flor. inst.,15,Flor. inst.,99,Flor. 8 inst.
122,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
123,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
124,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
125,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
126,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
127,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
128,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
129,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
130,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
131,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
132,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
133,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
134,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
135,15,Flor. inst.,15,Flor. inst.,95,Flor. 11 inst.
136,15,Flor. inst.,15,Flor. inst.,98,Flor. 7 inst.
137,15,Flor. inst.,15,Flor. inst.,98,Flor. 7 inst.
138,15,Flor. inst.,15,Flor. inst.,98,Flor. 7 inst.
139,15,Flor. inst.,15,Flor. inst.,98,Flor. 7 inst.
140,15,Flor. inst.,15,Flor. inst.,96,Flor. 3 inst.
141,15,Flor. inst.,15,Flor. inst.,96,Flor. 3 inst.
142,15,Flor. inst.,15,Flor. inst.,96,Flor. 3 inst.
143,15,Flor. inst.,15,Flor. inst.,94,Flor. 10 inst.
144,15,Flor. inst.,15,Flor. inst.,94,Flor. 10 inst.
145,15,Flor. inst.,15,Flor. inst.,94,Flor. 10 inst.
146,15,Flor. inst.,15,Flor. inst.,94,Flor. 10 inst.
147,15,Flor. inst.,15,Flor. inst.,94,Flor. 10 inst.
148,15,Flor. inst.,15,Flor. inst.,94,Flor. 10 inst.
149,15,Flor. inst.,15,Flor. inst.,94,Flor. 10 inst.
150,15,Flor. inst.,15,Flor. inst.,94,Flor. 10 inst.
151,15,Flor. inst.,15,Flor. inst.,94,Flor. 10 inst.
152,15,Flor. inst.,15,Flor. inst.,94,Flor. 10 inst.
153,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
154,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
155,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
156,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
157,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
158,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
159,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
160,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
161,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
162,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
163,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
164,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
165,48,Hermog. 1 iuris epit.,46,Hermog. iuris epit.,194,Hermog. 1 iuris epit.
