,BKO_id,BKO_label,Jurist_id,Mid_date
133,133,Paul. 20-23 resp.,25,208
134,134,Paul. 28-48 ad ed.,25,208
135,135,Paul. 3 fideicomm.,25,208
136,136,Paul. 3 sent.,25,208
137,137,Paul. 4 sent.,25,208
138,138,Paul. 48-49 ad ed.,25,208
139,139,Paul. 5 sent.,25,208
140,140,Paul. 50-51 ad ed.,25,208
141,141,Paul. 52 ad ed.,25,208
142,142,Paul. 53-78 ad ed.,25,208
143,143,Paul. 6-8 brev.,25,208
144,144,Paul. 8-15 resp.,25,208
145,145,Paul. ?1 sent.,25,208
146,146,Paul. ?48 ad ed.,25,208
147,147,Paul. ad Ner.,25,208
148,148,Paul. ad Sab.,25,208
149,149,Paul. ad Vitell.,25,208
150,150,Paul. ad ed. aedil. curul.,25,208
151,151,Paul. ad l. Aeliam Sentiam.,25,208
152,152,Paul. ad leg. Iul. et Pap.,25,208
153,153,Paul. ad leg. Iuliam.,25,208
154,154,Paul. de adult.,25,208
155,155,Paul. de cens.,25,208
156,156,Paul. de iure fisci.,25,208
157,157,Paul. de off. procons.,25,208
158,158,Paul. decr.,25,208
159,159,Paul. epit. Alf.,25,208
160,160,Paul. imp. sent. i. c. p.,25,208
161,161,Paul. inst.,25,208
162,162,Paul. l. s. ad l. Cinc.,25,208
163,163,Paul. l. s. ad l. Falcid.,25,208
164,164,Paul. l. s. ad l. Fuf. Canin.,25,208
165,165,Paul. l. s. ad or. Ant. et Comm.,25,208
166,166,Paul. l. s. ad reg. Caton.,25,208
167,167,Paul. l. s. ad sc Claudianum.,25,208
168,168,Paul. l. s. ad sc Libon.,25,208
169,169,Paul. l. s. ad sc Orfit.,25,208
170,170,Paul. l. s. ad sc Silan.,25,208
171,171,Paul. l. s. ad sc Tert.,25,208
172,172,Paul. l. s. ad sc Turpill.,25,208
173,173,Paul. l. s. ad sc Velle.,25,208
174,174,Paul. l. s. de adsign. libert.,25,208
175,175,Paul. l. s. de adult.,25,208
176,176,Paul. l. s. de appellat.,25,208
177,177,Paul. l. s. de art. liberalis c.,25,208
178,178,Paul. l. s. de cogn.,25,208
179,179,Paul. l. s. de concept. form.,25,208
180,180,Paul. l. s. de concurr. actionum.,25,208
181,181,Paul. l. s. de dotis repet.,25,208
182,182,Paul. l. s. de excus.,25,208
183,183,Paul. l. s. de forma testamenti.,25,208
184,184,Paul. l. s. de grad. et adfin.,25,208
185,185,Paul. l. s. de inoff. testam.,25,208
186,186,Paul. l. s. de instrumenti sign.,25,208
187,187,Paul. l. s. de intercess.,25,208
188,188,Paul. l. s. de iure codicill.,25,208
189,189,Paul. l. s. de iure libellorum.,25,208
190,190,Paul. l. s. de iure patronatus.,25,208
191,191,Paul. l. s. de iure singulari.,25,208
192,192,Paul. l. s. de iuris et facti ignor.,25,208
193,193,Paul. l. s. de liberali causa.,25,208
194,194,Paul. l. s. de libertatibus dandis.,25,208
195,195,Paul. l. s. de off. adsess.,25,208
196,196,Paul. l. s. de off. praef. vig.,25,208
197,197,Paul. l. s. de off. pu.,25,208
198,198,Paul. l. s. de poen. milit.,25,208
199,199,Paul. l. s. de poen. omnium legum.,25,208
200,200,Paul. l. s. de poen. pagan.,25,208
201,201,Paul. l. s. de portion.,25,208
202,202,Paul. l. s. de publ. iudic.,25,208
203,203,Paul. l. s. de secundis tabulis.,25,208
204,204,Paul. l. s. de senatus consultis.,25,208
205,205,Paul. l. s. de septemvir. iud.,25,208
206,206,Paul. l. s. de tac. fideicomm.,25,208
207,207,Paul. l. s. de usur.,25,208
208,208,Paul. l. s. de var. lect.,25,208
209,209,Paul. l. s. reg.,25,208
210,210,Paul. manual.,25,208
211,211,Paul. not. ad Iul. dig.,25,208
212,212,Paul. not. ad Pap. quaest.,25,208
213,213,Paul. quaest.,25,208
214,214,Paul. reg.,25,208
215,215,Paul. x.,25,208
216,216,Pomp. 1 ad Plaut.,26,135
217,217,Pomp. 1-2 fideicomm.,26,135
218,218,Pomp. 2-3 ad Plaut.,26,135
219,219,Pomp. 3-5 fideicomm.,26,135
220,220,Pomp. 4-7 ad Plaut.,26,135
221,221,Pomp. ad Q. Muc.,26,135
222,222,Pomp. ad Sab.,26,135
223,223,Pomp. enchirid.,26,135
224,224,Pomp. epist.,26,135
225,225,Pomp. l. s. enchirid.,26,135
226,226,Pomp. l. s. reg.,26,135
227,227,Pomp. sen. consult.,26,135
228,228,Pomp. var. lect.,26,135
229,229,Pomp. x.,26,135
230,230,Proc. 1-6 epist.,27,55
