,BKO_no,bis,Jurist_name,Number_of_books,Work_title
189,124,,Paulus,18,ad Plautium lib. 1–14
190,125,,Iavolenus,5,ad Plautium lib. 1
191,126,,Pomponius,7,ad Plautium lib. 1
192,127,,Iavolenus,5,ad Plautium lib. 2
193,128,,Pomponius,7,"ad Plautium lib. 2–3 (2, H)"
194,129,,Paulus,18,ad Plautium lib. 15–18
195,130,,Iavolenus,5,ad Plautium lib. 3–5
196,131,,Pomponius,7,"ad Plautium lib. 4–7 (3–7, H)"
197,132,,Paulus,4,"ad Vitellium (N, H)"
198,133,,Paulus,2,"de iure fisci (N, H)"
199,134,,Celsus,39,digestorum
200,135,,Marcellus,31,digestorum
201,136,,Ulpianus,3,"de officio consulis (N, H)"
202,137,,Modestinus,1,de manumissionibus
203,138,,Modestinus,9,differentiarum
204,139,,Modestinus,10,regularum
205,141,,Modestinus,1,de differentia dotis
206,142,,Modestinus,6,excusationum
207,143,,Ulpianus,1,de officio praetoris tutelaris
208,144,,Ulpianus,1,excusationum
209,145,,Modestinus,4,de praescriptionibus
210,146,,Modestinus,19,responsorum
211,147,,Modestinus,1,de enucleatis casibus
212,148,,Modestinus,1,de praescriptionibus
213,149,,Modestinus,12,pandectarum
214,150,,Modestinus,1,de heurematicis
215,151,,Modestinus,1,de inofficioso testamento
216,152,,Iavolenus,15,ex Cassio
217,153,,Iavolenus,14,epistularum
218,154,,Pomponius,39,ad Quintum Mucium
219,155,,Proculus,11,epistularum lib. 1–6
220,156,,Pomponius,15,variarum lectionum
221,157,,Proculus,11,epistularum lib. 7–11
222,158,,Callistratus,4,"de iure fisci (ID, M)"
223,159,,Paulus,2,"de censibus (ID, M; S or P, H)"
224,160,,Callistratus,6,de cognitionibus
225,161,,Tertullianus,8,quaestionum
226,162,,Ulpianus,20,ad legem Iuliam et Papiam
227,163,,Paulus,10,ad legem Iuliam et Papiam
228,164,,Terentius Clemens,20,ad legem Iuliam et Papiam
229,165,,Gaius,15,ad legem Iuliam et Papiam
230,166,,Mauricianus,6,ad legem Iuliam et Papiam
231,167,,Marcellus,6,ad legem Iuliam et Papiam
232,168,,Macer,2,ad legem vicensimam hereditatium
233,169,,Gaius,1,"ad legem Glitiam (ID, M; P, H)"
234,170,,Paulus,1,"ad legem Cinciam (ID, M; S or P, H)"
235,171,,Arrius Menander,4,de re militari
236,172,,Tarrutienus Paternus,4,de re militari
237,173,,Tertullianus,1,de castrensi peculio
238,174,,Modestinus,4,de poenis
239,175,,Licinius Rufinus,12,or 13 regularum
240,176,,Callistratus,4,edicti monitorii (including lib. 1–2 from 100)
241,177,,Papirius Iustus,20,constitutionum
242,178,,Aelius Gallus,1,de verborum quae ad ius pertinent
243,179,,Iulius Aquila,1,responsorum
244,263,,Paulus,2,"(6, IA) imperialium sententiarum in cognitionibus prolatarum (ID, M; App., H, O)"
245,265,,Labeo,10,posteriorum a Iavoleno epitomatorum lib. 2 fin.–10
246,265,bis.,Iavolenus,10,posteriorum Labeonis lib. 2 fin.–10
247,266,,Proculus,3,ex posterioribus Labeonis
248,267,,Scaevola,40,digestorum lib. 3–40
249,268,,Labeo,8,πιθανῶν a Paulo epitomatorum
250,269,,Pomponius,20,epistularum
251,270,,Pomponius,5,de senatusconsultis
252,271,,Scaevola,1,quaestionum publice tractatarum
253,272,,Valens,7,actionum 374
254,273,,Venuleius Saturninus,10,actionum
255,274,,Venuleius Saturninus,6,de interdictis
256,275,,Furius Anthianus,1,"(5, IA) ad edictum (ID, M; App., H)"
